loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 145471723,  -1,  -4,   5,   0,   0,   0,  -5,  -9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   1,   3,  -3, -145,  31, 2060, 178, 195, 158, 192, 35806, 0, 0, IDLE, 0, 0
  1, 145472707,  -2,  -4,   4,   0,   0,   0,  -8,  -4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   1,   3,  -2, -48,  40, 2051, 183, 191, 158, 182, 35806, ANGLE_MODE, 0, IDLE, 1, 1
  2, 145473692,  -2,  -3,   3,   0,   0,   0,  -7,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   1,   2,  -1,  11,  52, 2048, 181, 183, 158, 172, 35806, ANGLE_MODE, 0, IDLE, 1, 1
  3, 145474676,  -1,  -1,   2,   0,   0,   0,  -5,   5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   1,   1,   0,  75,  32, 2057, 176, 166, 161, 158, 35806, ANGLE_MODE, 0, IDLE, 1, 1
  4, 145475659,  -1,   1,   0,   0,   0,   0,  -3,  11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   1,  -1,   1,  83,  16, 2064, 189, 165, 181, 158, 35806, ANGLE_MODE, 0, IDLE, 1, 1
  5, 145476643,  -1,   4,  -1,   0,   0,   0,  -2,  17,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   1,  -2,   3,  75,  10, 2078, 203, 166, 200, 158, 35806, ANGLE_MODE, 0, IDLE, 1, 1
  6, 145477627,  -1,   5,  -3,   0,   0,   0,  -1,  19,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   1,  -3,   4,  28,   4, 2096, 207, 168, 209, 158, 35806, ANGLE_MODE, 0, IDLE, 1, 1
  7, 145478625,  -1,   3,  -4,   0,   0,   0,   1,  14,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   0,  -2,   4, -10, -10, 2108, 191, 166, 200, 158, 35806, ANGLE_MODE, 0, IDLE, 1, 1
  8, 145479595,   0,   1,  -5,   0,   0,   0,   2,   5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   0,  -1,   4, -53, -13, 2117, 164, 163, 179, 158, 35806, ANGLE_MODE, 0, IDLE, 1, 1
  9, 145480579,   1,  -1,  -6,   0,   0,   0,   4,  -5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,  -1,   1,   4, -71,   0, 2133, 158, 181, 178, 179, 35806, ANGLE_MODE, 0, IDLE, 1, 1
 10, 145481563,   2,  -3,  -6,   0,   0,   0,   6, -11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,  -1,   2,   4, -66,  -2, 2133, 158, 195, 184, 199, 35806, ANGLE_MODE, 0, IDLE, 1, 1
 11, 145482547,   3,  -3,  -6,   0,   0,   0,   7, -11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,  -2,   2,   3, -88, -19, 2123, 158, 195, 188, 203, 35806, ANGLE_MODE, 0, IDLE, 1, 1
 12, 145483534,   3,   1,  -5,   0,   0,   0,   8,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,  -2,   0,   2, -57, -25, 2105, 158, 172, 188, 184, 35806, ANGLE_MODE, 0, IDLE, 1, 1
 13, 145484515,   3,   3,  -4,   0,   0,   0,   6,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,  -2,  -2,   2, -57, -25, 2105, 168, 158, 192, 166, 35806, ANGLE_MODE, 0, IDLE, 1, 1
 14, 145485499,   2,   5,  -3,   0,   0,   0,   2,  12,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,  -1,  -3,   1, -14, -25, 2096, 184, 158, 197, 159, 35806, ANGLE_MODE, 0, IDLE, 1, 1
 15, 145486483,   0,   5,  -2,   0,   0,   0,  -3,  13,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 0.00, 841,   0,  -3,   0,  43, -27, 2083, 196, 166, 196, 158, 35806, ANGLE_MODE, 0, IDLE, 1, 1
 16, 145487467,   0,   5,   0,   0,   0,   0,  -5,  10,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.8, 0.00, 841,   0,  -3,  -2,  58, -25, 2062, 196, 169, 186, 158, 35806, ANGLE_MODE, 0, IDLE, 1, 1
