loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 124655585,   2,   0,  -2,   0,   0,   0,   1,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 768,  -1,   0,   2,  22,  25, 2021, 158, 164, 168, 166, 8275, 0, 0, IDLE, 0, 0
  1, 124656569,   1,  -1,  -2,   0,   0,   0,   0,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 768,  -1,   0,   1,  43,  32, 2017, 158, 165, 164, 164, 8350, ANGLE_MODE, 0, IDLE, 1, 1
  2, 124657557,   1,  -1,  -2,   0,   0,   0,  -2,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 768,   0,   0,   1,  54,  35, 2019, 158, 166, 160, 160, 8350, ANGLE_MODE, 0, IDLE, 1, 1
  3, 124658538,   1,   0,  -1,   0,   0,   0,  -2,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 767,   0,   0,   0,  56,  15, 2028, 160, 163, 161, 158, 8350, ANGLE_MODE, 0, IDLE, 1, 1
  4, 124659521,   1,   1,  -1,   0,   0,   0,  -1,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 767,   0,  -1,  -1,  16,   8, 2036, 165, 160, 165, 158, 8350, ANGLE_MODE, 0, IDLE, 1, 1
  5, 124660505,   0,   2,   1,   0,   0,   0,  -1,   5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 767,   0,  -1,  -2, -15,   9, 2045, 173, 158, 170, 158, 8350, ANGLE_MODE, 0, IDLE, 1, 1
  6, 124661489,   1,   1,   2,   0,   0,   0,  -1,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 767,   0,  -1,  -3, -52,  16, 2052, 174, 158, 169, 162, 8350, ANGLE_MODE, 0, IDLE, 1, 1
  7, 124662475,   1,   0,   4,   0,   0,   0,  -1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 767,   0,   0,  -4, -81,  32, 2057, 165, 158, 158, 165, 8350, ANGLE_MODE, 0, IDLE, 1, 1
  8, 124663459,   1,  -2,   5,   0,   0,   0,   0,  -5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 767,  -1,   1,  -5, -81,  32, 2057, 165, 169, 158, 181, 8350, ANGLE_MODE, 0, IDLE, 1, 1
  9, 124664441,   1,  -3,   6,   0,   0,   0,   1,  -9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.07, 767,   0,   2,  -5, -91,  46, 2055, 166, 177, 158, 191, 8350, ANGLE_MODE, 0, IDLE, 1, 1
 10, 124665425,   1,  -4,   6,   0,   0,   0,   0, -11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.32, 767,   0,   3,  -4, -81,  63, 2047, 167, 184, 158, 196, 8350, ANGLE_MODE, 0, IDLE, 1, 1
 11, 124666409,   0,  -4,   5,   0,   0,   0,  -1,  -9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.32, 767,   0,   3,  -3, -60,  54, 2035, 169, 183, 158, 191, 8350, ANGLE_MODE, 0, IDLE, 1, 1
 12, 124667395,   0,  -2,   4,   0,   0,   0,  -1,  -4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.32, 767,   0,   2,  -1, -29,  46, 2030, 167, 173, 158, 178, 8350, ANGLE_MODE, 0, IDLE, 1, 1
 13, 124668378,   0,  -1,   2,   0,   0,   0,  -2,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.32, 766,   0,   1,   0,   2,  30, 2019, 166, 159, 158, 159, 8350, ANGLE_MODE, 0, IDLE, 1, 1
 14, 124669361,  -1,   1,   1,   0,   0,   0,  -3,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.32, 766,   1,   0,   1,  10,  30, 2009, 180, 163, 172, 158, 8350, ANGLE_MODE, 0, IDLE, 1, 1
 15, 124670345,  -1,   1,  -1,   0,   0,   0,  -4,   9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.32, 766,   1,  -1,   2,  13,  35, 2000, 187, 169, 179, 158, 8350, ANGLE_MODE, 0, IDLE, 1, 1
 16, 124671329,  -1,   1,  -2,   0,   0,   0,  -3,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.8, 1.32, 766,   1,   0,   3,   9,  54, 1997, 181, 171, 177, 158, 8350, ANGLE_MODE, 0, IDLE, 1, 1
