loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 138637994,   1,   0,  -1,   0,   0,   0,   0,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 2.05, 824,  -1,   0,   1, -25,  52, 2072, 158, 162, 162, 163, 34094, 0, 0, IDLE, 0, 0
  1, 138638978,  -1,   0,  -1,   0,   0,   0,  -4,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 2.05, 824,   1,   0,   1, -25,  52, 2072, 164, 173, 158, 162, 34252, ANGLE_MODE, 0, IDLE, 1, 1
  2, 138639963,  -1,   0,  -2,   0,   0,   0,  -6,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 2.05, 824,   1,   0,   1, -16,  95, 2053, 168, 178, 158, 161, 34252, ANGLE_MODE, 0, IDLE, 1, 1
  3, 138640946,  -1,  -1,  -2,   0,   0,   0,  -6,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 2.05, 824,   1,   1,   1,   3,  87, 2039, 168, 180, 158, 163, 34252, ANGLE_MODE, 0, IDLE, 1, 1
  4, 138641930,   0,   0,  -2,   0,   0,   0,  -3,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 2.05, 824,   0,   0,   1,   4,  70, 2032, 162, 170, 158, 159, 34252, ANGLE_MODE, 0, IDLE, 1, 1
  5, 138642914,   0,   0,  -2,   0,   0,   0,  -1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 2.05, 824,   0,   0,   1,   5,  43, 2028, 160, 163, 161, 158, 34252, ANGLE_MODE, 0, IDLE, 1, 1
  6, 138643897,   1,   0,  -1,   0,   0,   0,   2,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 0.00, 824,   0,   0,   1,   4,  22, 2030, 158, 158, 165, 160, 34252, ANGLE_MODE, 0, IDLE, 1, 1
  7, 138644884,   0,   0,  -1,   0,   0,   0,   1,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 0.00, 824,   0,   0,   1,  -4,   8, 2029, 158, 159, 163, 158, 34252, ANGLE_MODE, 0, IDLE, 1, 1
  8, 138645865,   0,   0,  -1,   0,   0,   0,   0,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 0.00, 824,   0,   0,   0, -19,  -3, 2028, 159, 159, 161, 158, 34252, ANGLE_MODE, 0, IDLE, 1, 1
  9, 138646849,  -1,  -1,   0,   0,   0,   0,  -3,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 0.00, 824,   1,   0,  -1, -30,  -5, 2032, 165, 168, 158, 160, 34252, ANGLE_MODE, 0, IDLE, 1, 1
 10, 138647833,  -1,  -1,   0,   0,   0,   0,  -3,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 232.4, 0.00, 824,   1,   1,  -1, -33, -25, 2037, 165, 172, 158, 166, 34252, ANGLE_MODE, 0, IDLE, 1, 1
