loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 125709899,   0,   0,   1,   0,   0,   0,  -1,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.8, 0.35, 770,   0,   0,  -2,  28,  16, 2060, 164, 158, 160, 159, 9161, 0, 0, IDLE, 0, 0
  1, 125710886,   1,   1,   2,   0,   0,   0,   1,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.8, 0.35, 770,   0,   0,  -3,  23,  27, 2069, 172, 158, 171, 166, 9185, ANGLE_MODE, 0, IDLE, 1, 1
  2, 125711869,   1,   0,   3,   0,   0,   0,   2,   3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.8, 0.35, 770,   0,   0,  -3,  23,  27, 2069, 171, 158, 170, 170, 9185, ANGLE_MODE, 0, IDLE, 1, 1
  3, 125712851,   1,  -1,   4,   0,   0,   0,   2,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.8, 0.35, 770,  -1,   1,  -3,   6,  48, 2072, 165, 158, 164, 172, 9185, ANGLE_MODE, 0, IDLE, 1, 1
  4, 125713835,   1,  -1,   4,   0,   0,   0,   3,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.8, 0.35, 770,  -1,   0,  -2, -16,  58, 2075, 162, 158, 163, 173, 9185, ANGLE_MODE, 0, IDLE, 1, 1
  5, 125714819,   2,   0,   3,   0,   0,   0,   3,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 245.5, 0.35, 770,  -1,   0,   0, -39,  71, 2072, 163, 158, 168, 173, 9185, ANGLE_MODE, 0, IDLE, 1, 1
  6, 125715806,   2,   1,   1,   0,   0,   0,   3,   3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 245.5, 0.35, 770,  -1,  -1,   1, -47,  58, 2068, 167, 158, 175, 170, 9185, ANGLE_MODE, 0, IDLE, 1, 1
  7, 125716787,   1,   1,  -1,   0,   0,   0,   1,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 245.5, 0.35, 770,  -1,  -1,   3, -39,  43, 2065, 166, 158, 172, 160, 9185, ANGLE_MODE, 0, IDLE, 1, 1
  8, 125717771,   0,   2,  -3,   0,   0,   0,  -2,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 245.5, 0.35, 770,   0,  -1,   4, -18,  26, 2063, 172, 166, 175, 158, 9185, ANGLE_MODE, 0, IDLE, 1, 1
  9, 125718755,   0,   2,  -5,   0,   0,   0,  -3,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 245.5, 0.35, 770,   0,  -1,   6,   1,   4, 2061, 175, 174, 178, 158, 9185, ANGLE_MODE, 0, IDLE, 1, 1
