loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 73490590,   1, -28,  16,   0,   0,   0,   8,  24,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 233.2, 2.07, 498,  -3,  -3, -23, -194, -459, 2098, 183, 158, 169, 207, 0, 0, 0, IDLE, 0, 0
  1, 73491574,   1, -27,  26,   0,   0,   0,   6,  27,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 233.2, 2.07, 498,  -3,  -4, -29, -219, -386, 2107, 209, 158, 172, 222, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
  2, 73492557,   2, -28,  34,   0,   0,   0,   4,  20,   0,   0,   0,   1,   1,  -1, 1000,  -2, -22,   0,   0, 233.2, 2.07, 498,  -4,  -3, -31, -210, -266, 2129, 212, 162, 158, 239, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
  3, 73493542,   2, -30,  39,   0,   0,   0,   4,  10,   0,   0,   0,   1,   1,  -1, 1000,  -2, -22,   0,   0, 244.0, 2.07, 498,  -4,  -2, -31, -177, -147, 2132, 219, 182, 158, 269, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
  4, 73494525,   0, -32,  41,   0,   0,   0,  -1,   1,   0,   0,   0,   1,   1,  -1, 1000,  -2, -22,   0,   0, 244.0, 2.07, 498,  -2,  -1, -31, -119,  17, 2120, 240, 220, 158, 295, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
  5, 73495509,  -5, -33,  41,   0,   0,   0, -12,  -6,   0,   0,   0,   1,   1,  -1, 1000,  -2, -22,   0,   0, 244.0, 2.07, 498,   1,   1, -27, -98, 188, 2095, 268, 264, 158, 312, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
  6, 73496493,  -9, -32,  38,   0,   0,   0, -22,  -7,   0,   0,   0,   1,   1,  -1, 1000,  -2, -22,   0,   0, 244.0, 2.07, 498,   4,   0, -21, -101, 358, 2059, 288, 291, 158, 304, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
  7, 73497479, -11, -31,  32,   0,   0,   0, -26,  -2,   0,   0,   0,   1,   1,  -1, 1000,  -2, -22,   0,   0, 244.0, 2.07, 498,   6,  -1, -15, -73, 425, 2040, 290, 291, 158, 280, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
  8, 73498461, -13, -29,  24,   0,   0,   0, -27,   4,   0,   0,   0,   1,   1,  -1, 1000,  -2, -22,   0,   0, 244.0, 8.37, 498,   7,  -2,  -8, -42, 495, 2058, 278, 281, 158, 251, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
  9, 73499445, -12, -29,  16,   0,   0,   0, -20,   6,   0,   0,   0,   1,   1,  -1, 1000,  -2, -22,   0,   0, 244.0, 8.37, 498,   6,  -2,  -1, -14, 512, 2074, 247, 261, 158, 231, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
 10, 73500429,  -8, -29,   7,   0,   0,   0,  -6,   5,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 244.0, 8.37, 498,   3,  -2,   5, -39, 481, 2072, 198, 230, 158, 216, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
 11, 73501413,  -4, -29,  -3,   0,   0,   0,   9,   5,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 244.0, 8.37, 498,   0,  -2,  12, -66, 375, 2048, 158, 208, 172, 212, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
 12, 73502397,  -1, -28, -12,   0,   0,   0,  19,   5,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 244.0, 8.37, 498,  -2,  -3,  19, -119, 241, 2035, 158, 226, 215, 236, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
 13, 73503380,  -2, -27, -21,   0,   0,   0,  19,   6,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 244.0, 8.37, 498,  -2,  -4,  23, -159, 123, 2033, 158, 237, 230, 230, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
 14, 73504364,  -6, -27, -26,   0,   0,   0,   7,   6,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 244.0, 8.37, 498,   1,  -4,  23, -170,  29, 2054, 158, 248, 211, 200, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
 15, 73505348, -11, -30, -29,   0,   0,   0,  -8,   0,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 244.0, 8.37, 498,   5,  -1,  22, -183, -76, 2083, 158, 272, 178, 180, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
 16, 73506332, -12, -33, -29,   0,   0,   0, -17, -10,   0,   0,   0,   1,   1,  -1, 1000,  -3, -22,   0,   0, 244.0, 8.37, 498,   6,   1,  20, -206, -185, 2094, 158, 296, 160, 186, 85, ANGLE_MODE|HORIZON_MODE, 0, IDLE, 1, 1
