loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 137195739,   1,   1,   2,   0,   0,   0,   1,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 1.82, 793,  -1,  -1,   0,  54, -26, 2022, 167, 158, 168, 167, 29190, 0, 0, IDLE, 0, 0
  1, 137196726,   0,   2,   1,   0,   0,   0,  -1,   3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 1.82, 793,   0,  -1,   0,  51,   2, 2006, 169, 158, 165, 158, 29329, ANGLE_MODE, 0, IDLE, 1, 1
  2, 137197709,  -1,   3,   1,   0,   0,   0,  -4,   5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 1.82, 794,   1,  -2,   0,  35,  39, 1990, 183, 167, 172, 158, 29329, ANGLE_MODE, 0, IDLE, 1, 1
  3, 137198691,  -2,   3,   0,   0,   0,   0,  -7,   6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 1.82, 794,   1,  -2,   1,  27,  75, 1987, 191, 175, 175, 158, 29329, ANGLE_MODE, 0, IDLE, 1, 1
  4, 137199675,  -2,   2,  -1,   0,   0,   0,  -7,   3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 3.00, 794,   2,  -1,   2,  18,  93, 1992, 185, 177, 170, 158, 29329, ANGLE_MODE, 0, IDLE, 1, 1
  5, 137200659,  -1,   2,  -2,   0,   0,   0,  -5,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 3.00, 794,   1,  -1,   3,   7, 100, 2004, 173, 174, 166, 158, 29329, ANGLE_MODE, 0, IDLE, 1, 1
  6, 137201643,   0,   1,  -3,   0,   0,   0,   0,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 3.00, 794,   0,  -1,   4,   7, 100, 2004, 158, 165, 165, 158, 29329, ANGLE_MODE, 0, IDLE, 1, 1
  7, 137202629,   1,   1,  -5,   0,   0,   0,   4,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 3.00, 794,  -1,  -1,   4,  -9,  92, 2008, 158, 168, 176, 169, 29329, ANGLE_MODE, 0, IDLE, 1, 1
  8, 137203611,   2,   0,  -6,   0,   0,   0,   6,  -4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 3.00, 794,  -1,   0,   5, -12,  69, 2012, 158, 175, 183, 179, 29329, ANGLE_MODE, 0, IDLE, 1, 1
  9, 137204595,   2,   0,  -7,   0,   0,   0,   6,  -5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.7, 3.00, 794,  -1,   0,   5,   0,  34, 2018, 158, 179, 185, 180, 29329, ANGLE_MODE, 0, IDLE, 1, 1
 10, 137205579,   1,   0,  -7,   0,   0,   0,   3,  -5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.6, 3.00, 794,  -1,   0,   5,  12,  -5, 2016, 158, 180, 180, 175, 29329, ANGLE_MODE, 0, IDLE, 1, 1
