loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 146344763,  -1,   1, -25,   0,   0,   0,  -1,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.4, 2.40, 824,   1,   0,  18,   1, 102, 1998, 160, 208, 204, 158, 41367, 0, 0, IDLE, 0, 0
  1, 146345746,   2,   0, -25,   0,   0,   0,   7,  -4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.4, 2.40, 824,  -1,   0,  17, -23,  37, 2018, 158, 213, 222, 182, 41563, ANGLE_MODE, 0, IDLE, 1, 1
  2, 146346733,   4,  -1, -23,   0,   0,   0,  12,  -7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.4, 2.40, 824,  -2,   1,  14, -15, -49, 2041, 158, 217, 232, 203, 41563, ANGLE_MODE, 0, IDLE, 1, 1
  3, 146347716,   4,  -2, -20,   0,   0,   0,  12,  -9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.4, 2.40, 824,  -2,   2,   9, -12, -102, 2064, 158, 217, 226, 209, 41563, ANGLE_MODE, 0, IDLE, 1, 1
  4, 146348698,   3,  -3, -15,   0,   0,   0,   9,  -9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.4, 2.40, 824,  -2,   2,   5,  13, -125, 2080, 158, 209, 210, 202, 41563, ANGLE_MODE, 0, IDLE, 1, 1
  5, 146349682,   2,  -2, -10,   0,   0,   0,   3,  -7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,  -1,   2,   0,  21, -153, 2085, 158, 194, 187, 185, 41563, ANGLE_MODE, 0, IDLE, 1, 1
  6, 146350666,   0,  -1,  -3,   0,   0,   0,  -3,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   0,   1,  -7,  27, -183, 2086, 158, 170, 158, 160, 41563, ANGLE_MODE, 0, IDLE, 1, 1
  7, 146351653,  -1,   1,   6,   0,   0,   0,  -7,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   1,  -1, -15,  -7, -182, 2075, 184, 163, 158, 161, 41563, ANGLE_MODE, 0, IDLE, 1, 1
  8, 146352636,  -1,   2,  16,   0,   0,   0,  -8,   8,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   1,  -1, -22, -46, -152, 2061, 207, 158, 160, 172, 41563, ANGLE_MODE, 0, IDLE, 1, 1
  9, 146353618,  -1,   2,  24,   0,   0,   0,  -6,   8,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   1,  -1, -25, -110, -83, 2048, 222, 158, 161, 190, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 10, 146354602,  -1,   0,  31,   0,   0,   0,  -4,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   1,   0, -28, -174,  -8, 2030, 226, 163, 158, 214, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 11, 146355586,  -1,  -3,  36,   0,   0,   0,  -2,  -7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   0,   2, -30, -227,  77, 2016, 232, 182, 158, 247, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 12, 146356572,  -1,  -7,  39,   0,   0,   0,  -1, -17,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   1,   5, -30, -267, 148, 2003, 238, 209, 158, 279, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 13, 146357555,  -1, -10,  40,   0,   0,   0,  -2, -24,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   1,   7, -27, -278, 191, 2002, 239, 227, 158, 299, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 14, 146358538,   0, -13,  39,   0,   0,   0,   0, -27,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   0,   8, -26, -262, 179, 2007, 233, 234, 158, 308, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 15, 146359522,   0, -12,  37,   0,   0,   0,   2, -24,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   0,   8, -22, -210, 172, 2026, 223, 223, 158, 297, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 16, 146360506,   2, -10,  32,   0,   0,   0,   5, -14,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,  -1,   7, -17, -119, 189, 2054, 206, 190, 158, 265, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 17, 146361490,   3,  -7,  25,   0,   0,   0,   8,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,  -2,   5,  -7,  10, 190, 2100, 187, 158, 163, 227, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 18, 146362475,   3,  -3,  16,   0,   0,   0,   8,  11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,  -2,   2,   0,  10, 190, 2100, 203, 158, 195, 209, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 19, 146363458,   2,   6,   4,   0,   0,   0,   5,  32,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,  -2,  -4,  10,  11, 176, 2112, 237, 158, 242, 179, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 20, 146364442,   0,   7,  -5,   0,   0,   0,  -2,  40,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.40, 824,   0,  -4,  11,  41, 169, 2078, 250, 172, 255, 158, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 21, 146365426,  -2,   6, -13,   0,   0,   0,  -9,  31,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 5.57, 824,   2,  -4,  19,  81,  69, 2084, 250, 205, 253, 158, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 22, 146366410,   1,   8, -21,   0,   0,   0,  -5,  26,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 5.57, 824,   0,  -5,  21, 102,  50, 2100, 232, 206, 263, 158, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 23, 146367396,   5,   7, -25,   0,   0,   0,   7,  20,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 5.57, 824,  -3,  -5,  22, 164, -72, 2116, 188, 182, 257, 158, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 24, 146368378,   6,   5, -29,   0,   0,   0,  13,   9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 5.57, 824,  -4,  -3,  22, 205, -163, 2116, 158, 186, 248, 167, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 25, 146369362,   5,   2, -30,   0,   0,   0,   9,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.0, 5.57, 824,  -3,  -1,  22, 249, -162, 2113, 158, 218, 241, 188, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 26, 146370346,   0,   0, -29,   0,   0,   0,   0, -11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.0, 5.57, 824,   0,   0,  18, 369, -173, 2095, 158, 235, 212, 179, 41563, ANGLE_MODE, 0, IDLE, 1, 1
 27, 146371330,  -3,   1, -27,   0,   0,   0, -13, -12,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 236.0, 5.57, 824,   2,   0,  17, 360, -183, 2059, 167, 241, 188, 158, 41563, ANGLE_MODE, 0, IDLE, 1, 1
