loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 98653535,   6,   2,   0,   0,   0,   0,  13,   9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.9, 2.12, 492,  -4,  -1,   0, -123, -175, 2091, 179, 158, 215, 195, 5069, 0, 0, IDLE, 0, 0
  1, 98654519,   6,   2,   0,   0,   0,   0,  12,   8,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.9, 2.12, 492,  -4,  -1,   1, -116, -143, 2110, 178, 158, 212, 191, 5185, ANGLE_MODE, 0, IDLE, 1, 1
  2, 98655506,   4,   2,  -1,   0,   0,   0,   6,   6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.9, 8.25, 492,  -3,  -1,   2, -119, -71, 2118, 170, 158, 191, 175, 5185, ANGLE_MODE, 0, IDLE, 1, 1
  3, 98656487,   4,   1,  -2,   0,   0,   0,   1,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.9, 8.25, 493,  -2,  -1,   3, -104,  31, 2102, 160, 158, 173, 162, 5185, ANGLE_MODE, 0, IDLE, 1, 1
  4, 98657471,   3,   0,  -4,   0,   0,   0,  -2,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.9, 8.25, 493,  -2,   0,   4, -104,  31, 2102, 158, 168, 169, 164, 5185, ANGLE_MODE, 0, IDLE, 1, 1
  5, 98658455,   2,   0,  -5,   0,   0,   0,  -4,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.9, 8.25, 493,  -2,   0,   4, -95,  95, 2081, 158, 174, 165, 163, 5185, ANGLE_MODE, 0, IDLE, 1, 1
  6, 98659439,   2,   0,  -5,   0,   0,   0,  -5,  -4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.9, 8.25, 493,  -1,   0,   4, -95, 159, 2061, 158, 176, 164, 161, 5185, ANGLE_MODE, 0, IDLE, 1, 1
  7, 98660426,   2,  -1,  -6,   0,   0,   0,  -4,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 238.9, 8.25, 493,  -1,   0,   4, -100, 194, 2046, 158, 177, 164, 160, 5185, ANGLE_MODE, 0, IDLE, 1, 1
  8, 98661408,  -1,   0,  -6,   0,   0,   0,  -9,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.7, 8.25, 493,   1,   0,   4, -130, 199, 2027, 174, 189, 166, 158, 5185, ANGLE_MODE, 0, IDLE, 1, 1
  9, 98662391,  -5,   0,  -5,   0,   0,   0, -17,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.7, 8.25, 493,   4,   0,   3, -173, 178, 2015, 200, 211, 167, 158, 5185, ANGLE_MODE, 0, IDLE, 1, 1
