loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 126946736,  -2,   0,  -6,   0,   0,   0,  -6,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 0.90, 761,   1,   0,   5,  85,  93, 2020, 176, 185, 173, 158, 11270, 0, 0, IDLE, 0, 0
  1, 126947720,   0,   2,  -7,   0,   0,   0,  -2,   6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 0.90, 761,   0,  -1,   5,  77,  29, 2031, 176, 175, 185, 158, 11333, ANGLE_MODE, 0, IDLE, 1, 1
  2, 126948704,   2,   3,  -6,   0,   0,   0,   5,  10,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 0.90, 761,  -1,  -2,   4,  72, -35, 2042, 172, 159, 196, 158, 11333, ANGLE_MODE, 0, IDLE, 1, 1
  3, 126949690,   2,   4,  -6,   0,   0,   0,   8,  11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 0.90, 761,  -2,  -2,   2,  23, -45, 2045, 175, 158, 206, 167, 11333, ANGLE_MODE, 0, IDLE, 1, 1
  4, 126950672,   3,   4,  -4,   0,   0,   0,   8,  10,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 0.90, 761,  -2,  -3,   1, -21, -32, 2039, 176, 158, 204, 170, 11333, ANGLE_MODE, 0, IDLE, 1, 1
  5, 126951656,   1,   3,  -2,   0,   0,   0,   5,   5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 2.70, 761,  -1,  -2,  -1, -21, -32, 2039, 169, 158, 185, 165, 11333, ANGLE_MODE, 0, IDLE, 1, 1
  6, 126952640,   0,   1,   0,   0,   0,   0,  -1,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 2.70, 761,   0,   0,  -3, -53,  -8, 2030, 159, 161, 158, 160, 11333, ANGLE_MODE, 0, IDLE, 1, 1
  7, 126953626,  -1,  -1,   3,   0,   0,   0,  -5,  -9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 2.70, 761,   1,   1,  -5, -80,  29, 2028, 175, 189, 158, 182, 11333, ANGLE_MODE, 0, IDLE, 1, 1
  8, 126954609,  -2,  -3,   6,   0,   0,   0,  -7, -13,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 2.70, 761,   1,   2,  -7, -90,  68, 2029, 184, 203, 158, 198, 11333, ANGLE_MODE, 0, IDLE, 1, 1
  9, 126955592,  -1,  -4,   8,   0,   0,   0,  -6, -14,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 2.70, 761,   1,   3,  -8, -94, 114, 2037, 186, 204, 158, 206, 11333, ANGLE_MODE, 0, IDLE, 1, 1
 10, 126956576,  -1,  -4,   9,   0,   0,   0,  -3, -12,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 246.5, 2.70, 761,   1,   3,  -7, -59, 127, 2047, 183, 195, 158, 205, 11333, ANGLE_MODE, 0, IDLE, 1, 1
