loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 123337575,  -1,   3,   7,   0,   0,   0,  -3,  13,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.00, 738,   1,  -2,  -4,  66, -12, 2079, 202, 158, 181, 163, 5784, 0, 0, IDLE, 0, 0
  1, 123338559,   0,   3,   6,   0,   0,   0,  -1,  11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.00, 738,   0,  -2,  -2,  32, -53, 2084, 194, 158, 182, 167, 5784, ANGLE_MODE, 0, IDLE, 1, 1
  2, 123339545,   1,   4,   4,   0,   0,   0,   3,  10,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.00, 738,  -1,  -3,  -1, -21, -63, 2084, 191, 158, 192, 173, 5784, ANGLE_MODE, 0, IDLE, 1, 1
  3, 123340528,   2,   4,   2,   0,   0,   0,   5,   9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.00, 739,  -1,  -3,   0, -76, -55, 2080, 186, 158, 196, 176, 5784, ANGLE_MODE, 0, IDLE, 1, 1
  4, 123341511,   1,   4,   0,   0,   0,   0,   3,   6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.90, 739,   0,  -3,   1, -114, -28, 2070, 178, 158, 184, 166, 5784, ANGLE_MODE, 0, IDLE, 1, 1
  5, 123342495,  -1,   1,  -1,   0,   0,   0,  -2,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.90, 739,   1,  -1,   2, -108,   4, 2072, 166, 167, 161, 158, 5784, ANGLE_MODE, 0, IDLE, 1, 1
  6, 123343479,  -3,  -1,  -2,   0,   0,   0,  -8,  -8,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.90, 739,   2,   1,   2, -90,  22, 2075, 176, 196, 158, 171, 5784, ANGLE_MODE, 0, IDLE, 1, 1
  7, 123344464,  -4,  -2,  -2,   0,   0,   0, -11, -12,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.90, 739,   3,   1,   2, -72,  41, 2072, 182, 212, 158, 180, 5784, ANGLE_MODE, 0, IDLE, 1, 1
  8, 123345448,  -3,  -2,  -3,   0,   0,   0,  -9, -11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.90, 740,   2,   1,   3, -34,  48, 2073, 175, 205, 158, 177, 5784, ANGLE_MODE, 0, IDLE, 1, 1
  9, 123346431,  -1,  -2,  -4,   0,   0,   0,  -3,  -9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.9, 0.90, 740,   1,   1,   3,  -3,  36, 2076, 159, 186, 158, 171, 5784, ANGLE_MODE, 0, IDLE, 1, 1
