loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 130575593,  -1,  -2,   4,   0,   0,   0,  -4,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 0.22, 777,   1,   1,  -2, -59,  58, 2006, 175, 176, 158, 173, 18241, 0, 0, IDLE, 0, 0
  1, 130576577,  -1,  -1,   3,   0,   0,   0,  -2,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 0.22, 777,   1,   1,  -1, -83,  24, 2007, 169, 169, 158, 168, 18257, ANGLE_MODE, 0, IDLE, 1, 1
  2, 130577562,   0,  -1,   2,   0,   0,   0,   0,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 0.22, 777,   0,   1,   0, -83,  24, 2007, 161, 158, 158, 161, 18257, ANGLE_MODE, 0, IDLE, 1, 1
  3, 130578546,   0,  -1,   1,   0,   0,   0,   1,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 0.22, 778,   0,   1,   0, -79,  -7, 2016, 158, 158, 159, 161, 18257, ANGLE_MODE, 0, IDLE, 1, 1
  4, 130579529,   0,  -2,   0,   0,   0,   0,   1,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 0.22, 778,   0,   1,   0, -57, -34, 2021, 158, 163, 160, 166, 18257, ANGLE_MODE, 0, IDLE, 1, 1
  5, 130580513,   0,  -2,   0,   0,   0,   0,   1,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 0.22, 778,   0,   1,   1,  -8, -51, 2021, 158, 166, 160, 167, 18257, ANGLE_MODE, 0, IDLE, 1, 1
  6, 130581497,   0,  -1,  -1,   0,   0,   0,   2,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 0.22, 778,   0,   1,   0,  32, -58, 2016, 158, 162, 163, 165, 18257, ANGLE_MODE, 0, IDLE, 1, 1
  7, 130582480,   0,   0,  -1,   0,   0,   0,   2,   3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 2.20, 778,   0,   0,   0,  67, -49, 2002, 162, 158, 168, 161, 18257, ANGLE_MODE, 0, IDLE, 1, 1
  8, 130583465,   1,   1,  -1,   0,   0,   0,   3,   6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 2.20, 778,   0,  -1,   0,  79, -42, 1987, 171, 158, 178, 163, 18257, ANGLE_MODE, 0, IDLE, 1, 1
  9, 130584448,   2,   3,  -1,   0,   0,   0,   3,   9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 2.20, 778,  -1,  -2,   1,  79, -11, 1978, 177, 158, 188, 166, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 10, 130585432,   2,   3,  -1,   0,   0,   0,   5,   9,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 2.20, 778,  -1,  -2,   1,  71,  11, 1975, 179, 158, 194, 168, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 11, 130586416,   2,   3,  -2,   0,   0,   0,   3,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 2.20, 778,  -1,  -2,   1,  38,  61, 1976, 173, 158, 184, 163, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 12, 130587400,   1,   1,  -2,   0,   0,   0,   1,   3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 242.8, 2.20, 778,  -1,  -1,   1,  20,  68, 1978, 162, 158, 169, 159, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 13, 130588385,   1,   0,  -1,   0,   0,   0,  -1,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,   0,   0,   0,   7,  48, 1991, 158, 167, 159, 163, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 14, 130589368,   1,  -1,  -1,   0,   0,   0,  -1,  -7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,  -1,   1,   1,  20,  -6, 2010, 158, 175, 160, 173, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 15, 130590352,   1,  -1,  -1,   0,   0,   0,   0,  -7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,  -1,   1,   0,  17, -59, 2031, 158, 175, 162, 176, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 16, 130591336,   2,   0,  -1,   0,   0,   0,   1,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,  -1,   0,   0,  24, -109, 2045, 158, 166, 165, 170, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 17, 130592320,   1,   1,  -1,   0,   0,   0,   1,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,  -1,  -1,   1,  11, -125, 2053, 161, 158, 166, 160, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 18, 130593304,   1,   3,  -1,   0,   0,   0,   0,   6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,   0,  -2,   1,  11, -125, 2053, 172, 159, 176, 158, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 19, 130594288,   0,   3,  -3,   0,   0,   0,  -2,   8,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,   0,  -2,   4,  40, -56, 2055, 182, 167, 185, 158, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 20, 130595272,  -2,   2,  -3,   0,   0,   0,  -5,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,   1,  -1,  -1, -52,  68, 2005, 188, 176, 180, 158, 18257, ANGLE_MODE, 0, IDLE, 1, 1
 21, 130596256,  -4,  -3,   1,   0,   0,   0, -11,  -6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 233.5, 2.20, 779,   3,   2,  -3,  42, 136, 1952, 189, 206, 158, 178, 18257, ANGLE_MODE, 0, IDLE, 1, 1
