loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 131714531,   1,   1,  -1,   0,   0,   0,   3,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 765,  -1,   0,   2,  -9, -14, 1997, 159, 158, 168, 163, 24764, 0, 0, IDLE, 0, 0
  1, 131715515,   0,   0,  -2,   0,   0,   0,  -2,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 765,   0,   0,   2, -15,  29, 2001, 160, 166, 159, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
  2, 131716500,  -1,   0,  -2,   0,   0,   0,  -5,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 765,   1,   0,   2,  -7,  45, 2011, 166, 173, 160, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
  3, 131717483,  -1,   0,  -3,   0,   0,   0,  -5,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 765,   1,   0,   2, -12,  51, 2020, 169, 175, 162, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
  4, 131718467,   0,   1,  -3,   0,   0,   0,  -2,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 765,   0,   0,   2, -28,  55, 2031, 164, 168, 164, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
  5, 131719451,   0,   0,  -2,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 765,   0,   0,   0, -33,  57, 2045, 158, 162, 162, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
  6, 131720435,   1,  -1,  -1,   0,   0,   0,   2,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 765,  -1,   1,  -1, -22,  22, 2066, 158, 166, 166, 171, 24969, ANGLE_MODE, 0, IDLE, 1, 1
  7, 131721420,   1,  -2,   1,   0,   0,   0,   3,  -6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 764,  -1,   2,  -3, -22,  22, 2066, 158, 172, 165, 183, 24969, ANGLE_MODE, 0, IDLE, 1, 1
  8, 131722403,   2,  -2,   3,   0,   0,   0,   4,  -7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 764,  -1,   2,  -4,  -7,   1, 2088, 158, 169, 164, 186, 24969, ANGLE_MODE, 0, IDLE, 1, 1
  9, 131723387,   0,  -2,   4,   0,   0,   0,   2,  -5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 764,   0,   1,  -5,  -3, -13, 2102, 162, 167, 158, 180, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 10, 131724371,  -1,  -2,   5,   0,   0,   0,  -2,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 2.80, 764,   1,   1,  -4,   7, -32, 2106, 174, 174, 158, 178, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 11, 131725355,  -1,  -1,   5,   0,   0,   0,  -5,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 3.02, 764,   1,   1,  -3,  13, -27, 2100, 181, 174, 158, 172, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 12, 131726340,   0,   0,   5,   0,   0,   0,  -3,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 3.02, 763,   0,   0,  -2,   6, -11, 2088, 174, 158, 159, 160, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 13, 131727323,   0,   1,   3,   0,   0,   0,   0,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 3.02, 763,   0,  -1,  -1,  -3,  26, 2063, 180, 158, 174, 164, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 14, 131728307,   0,   1,   2,   0,   0,   0,   2,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 3.02, 763,   0,  -1,   0, -11,  54, 2043, 177, 158, 177, 166, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 15, 131729290,   0,   0,   1,   0,   0,   0,   1,   4,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 3.02, 763,   0,   0,   1,  -8,  90, 2034, 167, 158, 168, 162, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 16, 131730274,   0,   0,  -1,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 241.6, 3.02, 763,   0,   0,   3, -30,  82, 2041, 158, 160, 161, 160, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 17, 131731261,   0,   0,  -2,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 763,   0,   0,   2, -14,  88, 2049, 158, 162, 163, 159, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 18, 131732242,   0,  -1,  -2,   0,   0,   0,  -1,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 762,   0,   1,   2,  49,  74, 2078, 158, 168, 161, 162, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 19, 131733226,   0,  -1,  -3,   0,   0,   0,  -1,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 762,   0,   0,   4,  47,  64, 2094, 158, 171, 162, 162, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 20, 131734210,   1,   4,  -4,   0,   0,   0,   1,   6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 762,   0,  -3,   3, -70,  71, 2091, 174, 162, 185, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 21, 131735194,   2,   7,  -5,   0,   0,   0,   3,  17,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 762,  -1,  -4,   5, -96,  84, 2095, 193, 159, 213, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 22, 131736182,   1,   2,  -5,   0,   0,   0,   4,  10,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 762,  -1,  -1,   2, -96,  84, 2095, 171, 159, 190, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 23, 131737163,   1,  -1,  -4,   0,   0,   0,   2,  -5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 761,  -1,   1,   1, -119,  58, 2107, 158, 176, 170, 175, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 24, 131738146,   3,  -4,  -3,   0,   0,   0,   4, -15,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 761,  -2,   3,   1, -35, 100, 2140, 158, 199, 176, 207, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 25, 131739130,   1,  -7,  -1,   0,   0,   0,   2, -22,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 761,   0,   5,  -1,  15,  12, 2131, 158, 214, 165, 216, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 26, 131740114,  -2,  -3,  -1,   0,   0,   0,  -6, -14,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 761,   1,   2,   1,  43,  59, 2104, 171, 204, 158, 187, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 27, 131741102,  -2,   1,  -1,   0,   0,   0,  -8,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 761,   2,  -1,   1, 108, 124, 2066, 182, 180, 165, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 28, 131742084,  -3,   3,  -1,   0,   0,   0,  -9,  11,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 760,   2,  -2,   0,  95, 167, 2016, 206, 180, 186, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 29, 131743066,   0,   6,   0,   0,   0,   0,  -3,  19,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 760,   0,  -4,   0,  10, 207, 1979, 212, 165, 207, 158, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 30, 131744050,   3,   8,   0,   0,   0,   0,   5,  23,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 3.02, 760,  -2,  -5,  -1, -95, 228, 1965, 218, 158, 233, 174, 24969, ANGLE_MODE, 0, IDLE, 1, 1
 31, 131745034,   3,   5,   1,   0,   0,   0,  10,  15,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 0.50, 760,  -2,  -3,  -1, -170, 202, 1982, 197, 158, 221, 185, 24969, ANGLE_MODE, 0, IDLE, 1, 1
128, 131746022,   2,   0,   2,   0,   0,   0,   7,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 0.50, 760,  -1,   0,  -2, -204, 161, 1990, 158, 159, 172, 179, 24969, ANGLE_MODE, 0, IDLE, 1, 1
129, 131747003,   2,  -4,   2,   0,   0,   0,   4, -17,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 0.50, 760,  -1,   3,  -2, -192, 138, 2024, 158, 194, 166, 210, 24969, ANGLE_MODE, 0, IDLE, 1, 1
130, 131747986,  -1,  -9,   3,   0,   0,   0,  -2, -30,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 0.50, 760,   1,   6,  -3, -78, 137, 2053, 169, 238, 158, 237, 24969, ANGLE_MODE, 0, IDLE, 1, 1
131, 131748970,  -1,  -9,   4,   0,   0,   0,  -6, -31,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 0.50, 760,   1,   6,  -3, -78, 137, 2053, 178, 248, 158, 241, 24969, ANGLE_MODE, 0, IDLE, 1, 1
132, 131749954,  -1,  -5,   3,   0,   0,   0,  -7, -17,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.8, 0.50, 760,   1,   3,   0, -37, 154, 2057, 180, 215, 158, 204, 24969, ANGLE_MODE, 0, IDLE, 1, 1
133, 131750941,  -1,  -2,   4,   0,   0,   0,  -3,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 235.6, 0.50, 760,   1,   1,  -5,  36, 142, 2055, 174, 168, 158, 166, 24969, ANGLE_MODE, 0, IDLE, 1, 1
134, 131751922,   0,   3,   4,   0,   0,   0,  -2,  14,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 235.6, 0.50, 759,   0,  -2,  -2,  14,   7, 2063, 197, 158, 187, 162, 24969, ANGLE_MODE, 0, IDLE, 1, 1
135, 131752906,   1,   4,   2,   0,   0,   0,   3,  22,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 235.6, 0.50, 759,  -1,  -3,   1,  85,  -5, 2092, 210, 158, 215, 169, 24969, ANGLE_MODE, 0, IDLE, 1, 1
136, 131753890,   1,   3,   1,   0,   0,   0,   4,  18,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 235.6, 0.50, 759,  -1,  -2,   0,  83, -23, 2097, 199, 158, 208, 170, 24969, ANGLE_MODE, 0, IDLE, 1, 1
