loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 37408487, -12, -15,  12,   0,   0,   0, -29,  -6,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 233.5, 6.42, 626,   9,   2,  -7,  77,  65, 2051, 257, 274, 158, 220, 15359, 0, 0, IDLE, 0, 0
  1, 37409471,  -6,  -7,  10,   0,   0,   0, -17,   6,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 233.5, 6.42, 626,   5,  -3,  -4, -131, 148, 1993, 220, 205, 158, 179, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 37410455,   1,  -2,   8,   0,   0,   0,   5,  25,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,   0,  -6,  -4, -285,  55, 1938, 215, 158, 211, 184, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 37411438,   4, -12,   6,   0,   0,   0,  21,  12,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,  -2,   0,  -3, -419,  53, 1899, 170, 158, 205, 217, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 37412422,   2, -24,   4,   0,   0,   0,  19, -26,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,  -1,   8,   0, -439,  86, 1861, 158, 244, 190, 292, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 37413406,  -5, -20,   1,   0,   0,   0,   1, -35,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,   4,   6,   4, -345,  95, 1873, 168, 271, 158, 263, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 37414389,  -7,  -8,  -3,   0,   0,   0, -12,  -2,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,   5,  -2,   7, -137,  67, 1927, 188, 215, 158, 172, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 37415373,  -1, -10,  -6,   0,   0,   0,  -4,  14,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,   1,  -1,   5, 110, 115, 1992, 176, 179, 176, 158, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 37416355,   4, -16,  -5,   0,   0,   0,  11,  -1,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,  -2,   3,   1, 259, 129, 2019, 158, 200, 195, 219, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 37417341,   4,  -8,  -2,   0,   0,   0,  17,   4,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,  -2,  -2,  -2, 292,  90, 2018, 158, 170, 203, 206, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 37418324,   3,   1,   0,   0,   0,   0,  13,  31,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,  -1,  -8,  -2, 200,  32, 2026, 218, 158, 247, 187, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 11, 37419308,   3,   1,   0,   0,   0,   0,   8,  37,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,  -2,  -8,   0, -88,  44, 2004, 230, 158, 250, 179, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 12, 37420292,   6,   0,  -1,   0,   0,   0,  11,  29,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 235.7, 6.42, 626,  -4,  -8,   2, -400,  46, 1950, 211, 158, 245, 189, 15493, ANGLE_MODE|MAG, 0, IDLE, 1, 1
