loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 39869498,  11, -16,   8,   0,   0,   0,  35, -15,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 237.5, 0.00, 625,  -6,   4,   0, -268, -293, 1967, 158, 201, 230, 304, 32558, 0, 0, IDLE, 0, 0
  1, 39870482,  12, -13,   3,   0,   0,   0,  36,  -6,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 237.5, 0.00, 625,  -7,   2,   4, -243, -72, 2028, 158, 190, 242, 285, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 39871466,  10, -14,  -3,   0,   0,   0,  27,  -2,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 237.5, 0.00, 625,  -6,   3,   8, -141, 218, 2038, 158, 195, 233, 259, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 39872449,   3, -16,  -8,   0,   0,   0,   6,  -5,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 237.5, 0.00, 625,  -1,   3,   9,  -1, 489, 1975, 158, 212, 190, 216, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 39873434,  -4, -12,  -9,   0,   0,   0, -18,   0,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 237.5, 0.00, 625,   4,   1,   5,  -1, 489, 1975, 183, 222, 158, 164, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 39874417,  -5,  -8,  -6,   0,   0,   0, -28,  13,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 237.5, 2.17, 625,   5,  -2,   1, 140, 572, 1972, 230, 233, 178, 158, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 39875401,  -3,  -7,  -2,   0,   0,   0, -21,  18,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 237.5, 2.17, 625,   3,  -2,  -4, 190, 425, 2053, 225, 208, 182, 158, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 39876387,  -2,  -7,   3,   0,   0,   0, -12,  16,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 237.5, 2.17, 625,   2,  -3,  -7, 140, 124, 2123, 202, 179, 171, 158, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 39877368,   2,  -4,   6,   0,   0,   0,   0,  18,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 239.5, 2.17, 625,   0,  -4,  -8, -14, -183, 2105, 198, 158, 189, 174, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 39878352,   8,  -7,   8,   0,   0,   0,  17,  13,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 239.5, 2.17, 625,  -5,  -2,  -6, -167, -465, 2026, 183, 158, 215, 220, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 39879336,  11, -15,   6,   0,   0,   0,  27, -10,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 239.5, 2.17, 625,  -7,   3,  -1, -323, -629, 1997, 158, 193, 219, 277, 32558, ANGLE_MODE|MAG, 0, IDLE, 1, 1
