loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 42844535,   5,  -1,  18,   0,   0,   0,   0,  33,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -3,  -7,  -8, 387, 125, 2048, 255, 158, 231, 204, 39437, 0, 0, IDLE, 0, 0
  1, 42845519,  10,  10,  12,   0,   0,   0,  27,  63,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -6, -14,   1, 170, -68, 2074, 317, 158, 365, 250, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 42846505,   9,  10,   2,   0,   0,   0,  29,  66,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -5, -14,   8, -182, -165, 2076, 306, 158, 374, 234, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 42847486,  12,   0,  -4,   0,   0,   0,  28,  33,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -7,  -7,   7, -529, -16, 2012, 213, 158, 296, 227, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 42848470,  12,  -9,  -6,   0,   0,   0,  23,  -7,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -7,  -1,   5, -715, 251, 1965, 158, 199, 236, 255, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 42849454,   7, -12,  -5,   0,   0,   0,   9, -27,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -3,   1,   2, -618, 508, 2000, 158, 241, 198, 261, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 42850438,   2, -18,  -2,   0,   0,   0, -10, -40,   0,   0,   0,   1,   1,  -1, 1000,   2,  -7,   0,   0, 241.6, 1.77, 621,   0,   5,  -4, -307, 672, 2032, 169, 282, 158, 264, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 42851425,  -1, -26,   4,   0,   0,   0, -22, -56,   0,   0,   0,   1,   1,  -1, 1000,   2,  -7,   0,   0, 241.6, 1.77, 621,   3,  10, -10,  61, 732, 2030, 210, 357, 158, 320, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 42852405,  -7, -25,  12,   0,   0,   0, -31, -54,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,   6,  10, -17, 420, 619, 2068, 251, 379, 158, 331, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 42853389, -13, -13,  17,   0,   0,   0, -40, -19,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  10,   2, -16, 625, 319, 2183, 291, 320, 158, 253, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 42854373, -12,  -2,  18,   0,   0,   0, -38,  25,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,   9,  -5, -11, 625, 319, 2183, 296, 219, 167, 158, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 11, 42855356,  -1,   3,  13,   0,   0,   0, -11,  49,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,   2,  -9,  -1, 552,   9, 2282, 280, 158, 233, 159, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 12, 42856342,  11,   7,   3,   0,   0,   0,  29,  56,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -7, -11,   9, 258, -220, 2249, 282, 158, 352, 240, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 13, 42857324,  15,   6,  -5,   0,   0,   0,  50,  48,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621, -10, -11,  10, -126, -359, 2076, 251, 158, 384, 272, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 14, 42858308,  10,  -7,  -7,   0,   0,   0,  38,  12,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -6,  -2,   5, -468, -418, 1845, 158, 163, 261, 241, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 15, 42859291,   7, -22,  -6,   0,   0,   0,  16, -40,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 241.6, 1.77, 621,  -4,   8,   2, -668, -223, 1722, 158, 285, 212, 317, 39480, ANGLE_MODE|MAG, 0, IDLE, 1, 1
