loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 35931694,  -5, -32,  -9,   0,   0,   0, -22, -60,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.45, 618,   3,  13,  14, -240, 309, 1943, 191, 382, 158, 315, 0, 0, 0, IDLE, 0, 0
  1, 35932683,   1, -23, -16,   0,   0,   0,   7, -40,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.45, 618,  -1,   7,  13, -156, 356, 1948, 158, 307, 204, 293, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 35933662,  -1, -11, -15,   0,   0,   0,  12,   5,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.45, 618,   1,  -1,   4,  12, 142, 1956, 158, 197, 205, 188, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 35934646,   2,  -9, -10,   0,   0,   0,  13,  27,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.45, 618,  -2,  -2,   0, 199,  39, 2024, 172, 158, 220, 167, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 35935629,  11,  -5,  -8,   0,   0,   0,  29,  32,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.45, 618,  -8,  -4,   0, 274,  30, 2069, 194, 158, 283, 218, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 35936613,  11,  12,  -5,   0,   0,   0,  34,  62,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.45, 618,  -8, -16,  -3, 165, -64, 2024, 289, 158, 383, 233, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 35937597,   9,  23,  -1,   0,   0,   0,  24,  93,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.45, 618,  -7, -23,  -6,   7, -66, 1945, 375, 158, 440, 219, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 35938582,  10,  12,   2,   0,   0,   0,  16,  70,   0,   0,   0,   1,   1, -15, 1000,   0,  -7,  -3,   0, 236.7, 3.45, 618,  -7, -16,  -6, -200,   2, 1869, 316, 158, 361, 210, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 35939564,   3,  -8,   3,   0,   0,   0,   1,   2,   0,   0,   0,   1,   1, -15, 1000,   0,  -7,  -3,   0, 236.7, 3.45, 618,  -2,  -2,  -5, -373, 118, 1806, 158, 163, 160, 176, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 35940548, -10, -21,   1,   0,   0,   0, -31, -57,   0,   0,   0,   1,   1, -15, 1000,   0,  -7,  -3,   0, 236.7, 3.45, 618,   7,   6,  -1, -405, 227, 1815, 238, 383, 158, 308, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 35941532, -15, -28,  -4,   0,   0,   0, -53, -83,   0,   0,   0,   1,   1, -15, 1000,   0,  -7,  -3,   0, 236.7, 3.45, 618,  11,  11,   8, -282, 365, 1945, 280, 496, 158, 358, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 11, 35942515,  -9, -33, -12,   0,   0,   0, -40, -87,   0,   0,   0,   1,   1, -15, 1000,   0,  -7,  -3,   0, 236.7, 3.15, 618,   6,  14,  15, -80, 380, 2110, 227, 478, 158, 361, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 12, 35943499,  -6, -35, -18,   0,   0,   0, -17, -78,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.15, 618,   4,  16,  13, 123, 225, 2247, 169, 417, 158, 338, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 13, 35944483,  -8, -26, -17,   0,   0,   0,  -9, -45,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.15, 618,   5,  10,   7, 123, 225, 2247, 158, 326, 160, 262, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 14, 35945466,  -2, -14, -14,   0,   0,   0,   3,   5,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 236.7, 3.15, 618,   1,   2,   2, 268,  95, 2337, 158, 202, 184, 178, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 15, 35946450,   8,  -6,  -9,   0,   0,   0,  28,  41,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 244.9, 3.15, 618,  -6,  -4,   0, 318, -17, 2348, 206, 158, 293, 209, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 16, 35947434,  15,   4,  -7,   0,   0,   0,  49,  66,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 244.9, 3.15, 618, -11, -10,   1, 165, -137, 2235, 275, 158, 410, 265, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 17, 35948417,  18,  13,  -6,   0,   0,   0,  51,  86,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 244.9, 3.15, 618, -12, -17,   0, -77, -188, 2012, 333, 158, 475, 277, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 18, 35949401,  13,  12,  -4,   0,   0,   0,  37,  79,   0,   0,   0,   1,   1, -15, 1000,   0,  -8,  -3,   0, 244.9, 3.15, 619,  -9, -16,  -2, -257, -129, 1767, 323, 158, 425, 245, 69, ANGLE_MODE|MAG, 0, IDLE, 1, 1
