loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 48285614,  13,  -6,  -6,   0,   0,   0,  23,  26,   0,   0,  -5,   1,   1, -20, 1000,   2,  -6,  -4,   0, 245.8, 2.97, 620,  -7,  -3,  16, 559, -456, 2037, 174, 158, 264, 205, 54979, 0, 0, IDLE, 0, 0
  1, 48286598,  11,  -2, -19,   0,   0,   0,  25,  30,   0,   0,  -6,   1,   1, -20, 1000,   2,  -6,  -4,   0, 245.8, 2.97, 620,  -6,  -5,  24, 618, -413, 2150, 164, 158, 281, 179, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 48287582,  13,  10, -27,   0,   0,   0,  20,  50,   0,   0,  -6,   1,   1, -20, 1000,   3,  -6,  -4,   0, 245.8, 2.97, 620,  -7, -13,  19, 298, -146, 2227, 208, 158, 333, 159, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 48288565,  14,  10, -25,   0,   0,   0,  20,  56,   0,   0,  -5,   1,   1, -21, 1000,   3,  -6,  -4,   0, 245.8, 2.97, 620,  -8, -13,   9, -112, 216, 2187, 225, 158, 346, 165, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 48289549,  10,   4, -21,   0,   0,   0,   8,  32,   0,   0,  -4,   1,   1, -21, 1000,   3,  -6,  -4,   0, 245.8, 2.97, 620,  -4,  -9,   7, -585, 527, 2075, 194, 174, 275, 158, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 48290533,   1,  -7, -15,   0,   0,   0, -14,  -4,   0,   0,  -3,   1,   1, -21, 1000,   3,  -6,  -4,   0, 245.8, 2.97, 620,   2,  -2,  -1, -859, 739, 1961, 162, 218, 173, 158, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 48291517,  -7, -23,  -5,   0,   0,   0, -37, -52,   0,   0,  -2,   1,   1, -21, 1000,   3,  -6,  -4,   0, 245.8, 2.97, 620,   7,   9, -13, -952, 734, 1876, 227, 381, 158, 284, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 48292500,  -7, -30,   6,   0,   0,   0, -43, -79,   0,   0,  -1,   1,   1, -21, 1000,   3,  -6,  -4,   0, 245.8, 2.97, 620,   7,  13, -19, -838, 549, 1882, 260, 457, 158, 372, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 48293484,   1, -29,  13,   0,   0,   0, -21, -72,   0,   0,  -1,   1,   1, -21, 1000,   2,  -6,  -4,   0, 245.8, 2.97, 620,   2,  13, -20, -426, 220, 1951, 219, 386, 158, 372, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 48294468,   3, -22,  15,   0,   0,   0,   1, -42,   0,   0,  -1,   1,   1, -21, 1000,   2,  -6,  -4,   0, 245.8, 2.97, 620,   0,   8, -14,  79, -227, 2022, 179, 271, 158, 305, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 48295452,   2, -11,  10,   0,   0,   0,   4,   0,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 245.8, 2.97, 620,   1,   1,  -2, 508, -506, 2060, 164, 167, 158, 196, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 11, 48296435,   6,  -4,  -1,   0,   0,   0,  10,  34,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 245.8, 2.97, 620,  -2,  -4,   9, 732, -584, 2045, 212, 158, 245, 187, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 12, 48297421,   8,   4, -12,   0,   0,   0,  19,  55,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 245.8, 0.00, 620,  -4,  -9,  15, 590, -512, 2034, 248, 158, 322, 187, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 13, 48298403,   5,  13, -19,   0,   0,   0,  11,  73,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 245.8, 0.00, 620,  -1, -15,  14, 590, -512, 2034, 292, 164, 358, 158, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 14, 48299387,   0,  12, -19,   0,   0,   0,  -4,  68,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 245.8, 0.00, 620,   2, -14,   7, 226, -235, 2004, 317, 202, 346, 158, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 15, 48300370,   0,   3, -15,   0,   0,   0, -11,  34,   0,   0,   0,   1,   1, -21, 1000,   3,  -6,  -4,   0, 236.3, 0.00, 620,   2,  -8,   0, -274, 176, 1954, 247, 206, 256, 158, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 16, 48301354,   0, -11,  -7,   0,   0,   0, -11, -15,   0,   0,   0,   1,   1, -21, 1000,   3,  -6,  -4,   0, 236.3, 0.00, 620,   3,   1,  -8, -670, 466, 1941, 165, 227, 158, 192, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 17, 48302340,  -3, -28,   3,   0,   0,   0, -12, -68,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 236.3, 0.00, 620,   4,  12, -17, -750, 585, 1992, 192, 368, 158, 344, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 18, 48303322,   0, -38,  11,   0,   0,   0,  -7, -101,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 236.3, 0.00, 620,   2,  19, -21, -518, 497, 2082, 194, 435, 158, 443, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 19, 48304305,   1, -34,  17,   0,   0,   0,   0, -88,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 236.3, 0.00, 620,   1,  16, -19, -98, 155, 2128, 188, 386, 158, 420, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 20, 48305289,   7, -17,  15,   0,   0,   0,  13, -32,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 236.3, 0.00, 620,  -3,   5, -10, 375, -216, 2116, 158, 223, 167, 288, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 21, 48306273,   8,   0,  10,   0,   0,   0,  19,  36,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 236.3, 0.00, 620,  -4,  -7,  -6, 726, -615, 2086, 246, 158, 278, 228, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 22, 48307259,   9,   9,   6,   0,   0,   0,  18,  79,   0,   0,   0,   1,   1, -21, 1000,   2,  -6,  -4,   0, 236.3, 0.00, 620,  -4, -13,  -3, 875, -850, 2070, 335, 158, 375, 220, 55059, ANGLE_MODE|MAG, 0, IDLE, 1, 1
