loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 41102596,   1,  -6,  -7,   0,   0,   0,   3,  17,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   0,  -3,   9, -67, -13, 2088, 172, 164, 193, 158, 35217, 0, 0, IDLE, 0, 0
  1, 41103580,  -5,  -8,  -7,   0,   0,   0, -15,   4,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   4,  -2,   3, -226, -63, 2016, 189, 209, 165, 158, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 41104566,  -1,  -9,  -4,   0,   0,   0, -14,  -2,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   2,  -1,  -1, -340, -69, 2004, 179, 207, 158, 171, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 41105547,   3, -12,  -2,   0,   0,   0,   0, -11,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,  -1,   1,  -1, -415, -116, 2054, 158, 206, 166, 208, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 41106531,   1, -14,   2,   0,   0,   0,   3, -17,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   0,   2,  -6, -363, -191, 2095, 158, 215, 163, 226, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 41107515,  -1, -16,   7,   0,   0,   0,  -3, -20,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   2,   4, -11, -167, -166, 2129, 180, 235, 158, 240, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 41108499,  -1, -19,  10,   0,   0,   0,  -5, -23,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   2,   6,  -9,  72, -34, 2106, 188, 249, 158, 258, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 41109484,  -1, -18,   9,   0,   0,   0,  -3, -21,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   2,   5,  -3, 272,  89, 2021, 183, 240, 158, 250, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 41110466,  -2, -14,   5,   0,   0,   0,  -5,  -7,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   3,   2,   3, 377, 216, 1956, 179, 212, 158, 208, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 41111450,  -4, -11,  -1,   0,   0,   0,  -7,   8,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   4,   0,   7, 365, 364, 1994, 176, 185, 158, 161, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 41112434,  -8, -10,  -6,   0,   0,   0, -14,  14,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   6,  -1,   9, 226, 401, 2074, 206, 211, 178, 158, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 11, 41113421, -11,  -7,  -9,   0,   0,   0, -22,  18,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   9,  -2,   8,  13, 319, 2095, 241, 237, 197, 158, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 12, 41114403,  -8,  -4, -10,   0,   0,   0, -17,  23,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,   6,  -4,   7,  13, 319, 2095, 240, 224, 212, 158, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 13, 41115385,   3,  -5,  -9,   0,   0,   0,   8,  20,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,  -1,  -3,   4, -183, 181, 2035, 169, 158, 206, 162, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 14, 41116369,  10, -11,  -6,   0,   0,   0,  33,   3,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 1.12, 621,  -6,   1,   1, -299,  -7, 1936, 158, 186, 252, 256, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 15, 41117352,  11, -16,  -4,   0,   0,   0,  38, -16,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 4.70, 621,  -6,   4,   0, -360, -276, 1889, 158, 225, 258, 311, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 16, 41118336,  14, -15,  -2,   0,   0,   0,  37, -18,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 4.70, 621,  -9,   3,  -1, -356, -376, 1962, 158, 224, 257, 316, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 17, 41119322,  18,  -9,  -1,   0,   0,   0,  38,  -4,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 244.4, 4.70, 621, -11,  -1,   1, -242, -293, 2082, 158, 185, 266, 289, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 18, 41120303,  19,  -4,  -4,   0,   0,   0,  35,  15,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 239.5, 4.70, 621, -12,  -5,   7, -39, -66, 2149, 173, 158, 282, 252, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 19, 41121287,  16,  -1,  -7,   0,   0,   0,  25,  25,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 239.5, 4.70, 621, -10,  -6,   7,  67, 210, 2088, 190, 158, 281, 223, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 20, 41122271,   9,  -1, -10,   0,   0,   0,   1,  24,   0,   0,   0,   1,   1,  -1, 1000,   1,  -7,   0,   0, 239.5, 4.70, 621,  -5,  -6,  10, 143, 390, 1963, 182, 158, 219, 159, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 21, 41123255,  -2,  -4, -13,   0,   0,   0, -29,  15,   0,   0,   0,   1,   1,  -1, 1000,   2,  -7,   0,   0, 239.5, 4.70, 621,   3,  -4,  11,  30, 536, 1889, 236, 240, 203, 158, 35243, ANGLE_MODE|MAG, 0, IDLE, 1, 1
