loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 46717518,  -2,   5,   9,   0,   0,   0,  -4,  53,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,   3, -10,   2, 944, -347, 2161, 284, 158, 255, 163, 47836, 0, 0, IDLE, 0, 0
  1, 46718501,  -1,  17,  10,   0,   0,   0,  -2,  82,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,   2, -18,  -1, 595, -408, 2249, 364, 158, 341, 172, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 46719485,   5,  19,  13,   0,   0,   0,  10,  87,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,  -2, -20,  -6,  -4, -330, 2260, 383, 158, 387, 211, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 46720469,  10,   0,  17,   0,   0,   0,  23,  37,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,  -5,  -7,  -7, -592, -135, 2133, 259, 158, 290, 252, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 46721452,   9, -28,  17,   0,   0,   0,  24, -53,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,  -5,  12,  -3, -1017, 148, 1901, 158, 278, 187, 373, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 46722436,   2, -41,  15,   0,   0,   0,   7, -114,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,   0,  20,  -1, -1144, 441, 1788, 170, 433, 158, 479, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 46723420,  -3, -33,  14,   0,   0,   0, -14, -99,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,   4,  15,  -1, -783, 574, 1914, 217, 441, 158, 436, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 46724404,  -2, -25,  13,   0,   0,   0, -17, -53,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,   3,  10,  -1, -78, 505, 2063, 219, 342, 158, 330, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 46725386,   0, -22,  12,   0,   0,   0, -11, -18,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,   2,   8,   0, 643, 237, 2111, 203, 256, 158, 258, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 46726371,   1, -12,  11,   0,   0,   0,  -3,  13,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,   1,   1,   1, 1120, -118, 2076, 184, 161, 158, 179, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 46727355,   3,   4,  11,   0,   0,   0,   3,  58,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,   0,  -9,   0, 1191, -447, 2085, 295, 158, 284, 189, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 11, 46728339,   5,  16,  11,   0,   0,   0,   9,  95,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,  -2, -18,   1, 748, -617, 2117, 389, 158, 395, 206, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 12, 46729323,   8,  22,  11,   0,   0,   0,  16, 105,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,  -4, -22,   0, -11, -606, 2108, 418, 158, 443, 223, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 13, 46730306,  11,  19,  13,   0,   0,   0,  21,  84,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,  -6, -19,  -5, -11, -606, 2108, 378, 158, 415, 245, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 14, 46731290,  16,   4,  16,   0,   0,   0,  28,  32,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,  -9, -10,  -6, -753, -390, 1977, 257, 158, 308, 271, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 15, 46732274,  14, -23,  17,   0,   0,   0,  26, -51,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 3.52, 620,  -9,   8,  -4, -1174, -18, 1831, 158, 265, 202, 373, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 16, 46733258,   4, -45,  15,   0,   0,   0,   2, -128,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 4.95, 620,  -1,  23,  -1, -1135, 373, 1781, 174, 471, 158, 513, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 17, 46734241,  -8, -46,  13,   0,   0,   0, -33, -141,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 242.8, 4.95, 620,   7,  23,   1, -649, 623, 1847, 259, 588, 158, 536, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 18, 46735225, -10, -33,  12,   0,   0,   0, -48, -91,   0,   0,   0,   1,   1,  34, 1000,   2,  -7,   8,   0, 230.3, 4.95, 620,   8,  15,   0,  82, 672, 1975, 291, 503, 158, 415, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 19, 46736208,  -8, -21,  13,   0,   0,   0, -38, -25,   0,   0,   0,   1,   1,  32, 1000,   2,  -7,   8,   0, 230.3, 4.95, 620,   7,   7,  -4, 892, 455, 2111, 269, 332, 158, 271, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 20, 46737192,  -8,  -7,  13,   0,   0,   0, -28,  34,   0,   0,   0,   1,   1,  32, 1000,   2,  -7,   7,   0, 230.3, 4.95, 620,   7,  -2,   1, 1292,   3, 2203, 276, 201, 184, 158, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 21, 46738176,  -2,   8,   9,   0,   0,   0,  -9,  82,   0,   0,   0,   1,   1,  32, 1000,   2,  -7,   7,   0, 230.3, 4.95, 620,   3, -12,   4, 1243, -341, 2248, 348, 160, 310, 158, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 22, 46739160,   5,  18,   8,   0,   0,   0,  14, 108,   0,   0,   0,   1,   1,  32, 1000,   2,  -7,   7,   0, 230.3, 4.95, 620,  -2, -19,   1, 731, -641, 2212, 411, 158, 431, 209, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 23, 46740157,   8,  16,  10,   0,   0,   0,  26,  98,   0,   0,   0,   1,   1,  32, 1000,   2,  -7,   7,   0, 230.3, 4.95, 620,  -4, -18,  -3, -56, -710, 2058, 393, 158, 438, 241, 47928, ANGLE_MODE|MAG, 0, IDLE, 1, 1
